human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
UNC5C,Alzheimer disease,O95185,Q9FXI5,arabidopsis,dietary,78,0.9244,0.9156,927,790,133.0,88.0
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,Q67W50,rice,dietary,78,0.9386,0.9101,725,690,143.0,196.0
GALT,Galactosemia 1,P07902,Q8VYP0,arabidopsis,dietary,78,0.9681,0.9698,375,330,168.0,195.0
GALT,Galactosemia 1,P07902,Q0P8U0,campylobacter,microbial,78,0.9681,0.9659,375,339,168.0,231.0
GALT,Galactosemia 1,P07902,Q9HV34,pseudomonas,microbial,78,0.9681,0.9398,375,345,168.0,226.0
ATXN1,Spinocerebellar ataxia 1,P54253,P25365,yeast,dietary,78,0.9327,0.9283,811,1061,148.0,120.0
MYRF,"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization; Cardiac-urogenital syndrome; Nanophthalmos 1",Q9Y2G1,Q59Z29,candida,microbial,78,0.9197,0.9199,1147,794,162.0,205.0
NRIP1,Congenital anomalies of kidney and urinary tract 3,P48552,P93022,arabidopsis,dietary,78,0.9255,0.9355,1154,1160,135.0,170.0
FLRT3,Hypogonadotropic hypogonadism 21 with or without anosmia,Q9NZU0,P38739,yeast,dietary,78,0.9461,0.9336,645,601,130.0,214.0
FLRT3,Hypogonadotropic hypogonadism 21 with or without anosmia,Q9NZU0,Q59VR1,candida,microbial,78,0.9461,0.9298,645,574,130.0,179.0
GSX2,Diencephalic-mesencephalic junction dysplasia syndrome 2,Q9BZM3,F4JIP6,arabidopsis,dietary,78,0.9401,0.9485,300,300,138.0,162.0
GSX2,Diencephalic-mesencephalic junction dysplasia syndrome 2,Q9BZM3,Q9M8K5,arabidopsis,dietary,78,0.9401,0.9435,300,469,138.0,113.0
GSX2,Diencephalic-mesencephalic junction dysplasia syndrome 2,Q9BZM3,Q9M4U4,maize,dietary,78,0.9401,0.9466,300,296,138.0,152.0
HOXA2,"Microtia, hearing impairment, and cleft palate; Microtia with or without hearing impairment",O43364,O23523,arabidopsis,dietary,78,0.9267,0.9395,372,351,105.0,85.0
HOXA2,"Microtia, hearing impairment, and cleft palate; Microtia with or without hearing impairment",O43364,O82199,arabidopsis,dietary,78,0.9267,0.9164,372,355,105.0,99.0
NAF1,"Pulmonary fibrosis, and/or bone marrow failure syndrome, telomere-related, 7",Q96HR8,Q0E1Z0,rice,dietary,78,0.9259,0.9146,490,475,71.0,51.0
MAG,"Spastic paraplegia 75, autosomal recessive",P20916,B5X570,arabidopsis,dietary,78,0.9239,0.9143,622,648,70.0,98.0
MAG,"Spastic paraplegia 75, autosomal recessive",P20916,Q8GXT3,arabidopsis,dietary,78,0.9239,0.9141,622,450,70.0,67.0
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,Q8S8E8,arabidopsis,dietary,78,0.9182,0.9149,867,773,77.0,245.0
CFAP221,"Ciliary dyskinesia, primary, 55",Q4G0U5,O24585,maize,dietary,77,0.9589,0.9463,836,897,604.0,333.0
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q94JM3,arabidopsis,dietary,77,0.9315,0.9554,869,855,441.0,585.0
ADGRL1,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",O94910,Q9ZWC8,arabidopsis,dietary,77,0.9305,0.9217,1470,1162,624.0,265.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,F4KIF3,arabidopsis,dietary,77,0.9202,0.9044,1195,1193,476.0,169.0
PHF8,"Intellectual developmental disorder, X-linked, syndromic, Siderius type",Q9UPP1,P47043,yeast,dietary,77,0.9514,0.9512,1056,876,363.0,507.0
ADAM22,Developmental and epileptic encephalopathy 61,Q9P0K1,P32486,yeast,dietary,77,0.95,0.956,902,716,471.0,361.0
ADAM22,Developmental and epileptic encephalopathy 61,Q9P0K1,Q94JM3,arabidopsis,dietary,77,0.95,0.9554,902,855,471.0,585.0
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,Q9FWQ5,arabidopsis,dietary,77,0.9179,0.8908,1356,1702,292.0,207.0
MEGF10,"Congenital myopathy 10A, severe variant; Congenital myopathy 10B, mild variant",Q96KG7,P47043,yeast,dietary,77,0.9533,0.9512,1136,876,282.0,507.0
SYCP2,Spermatogenic failure 1,Q9BX26,Q9LJF3,arabidopsis,dietary,77,0.9163,0.9197,1526,1160,304.0,175.0
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q9T0K5,arabidopsis,dietary,77,0.9236,0.9379,934,756,262.0,160.0
ATL3,"Neuropathy, hereditary sensory, 1F",Q6DD88,P9WFW5,tuberculosis,microbial,77,0.9184,0.8836,537,546,313.0,184.0
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,F4KDH9,arabidopsis,dietary,77,0.9405,0.9349,1490,1192,258.0,505.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q59PT0,candida,microbial,77,0.9053,0.9133,502,508,237.0,203.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,P77455,ecoli,microbial,77,0.9302,0.9357,659,677,262.0,281.0
LRIG2,Urofacial syndrome 2,O94898,P47043,yeast,dietary,77,0.9445,0.9512,1061,876,238.0,507.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q7XWP1,rice,dietary,77,0.9147,0.902,1380,1437,179.0,611.0
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,P38739,yeast,dietary,77,0.9529,0.9336,792,601,203.0,214.0
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,Q9ZUF6,arabidopsis,dietary,77,0.9529,0.9514,792,750,203.0,176.0
YEATS2,"Epilepsy, familial adult myoclonic, 4",Q9ULM3,Q9FWS1,arabidopsis,dietary,77,0.9448,0.9261,1418,1446,254.0,296.0
DSC2,"Arrhythmogenic right ventricular dysplasia, familial, 11",Q02487,Q0JDM0,rice,dietary,77,0.9222,0.9194,897,899,218.0,188.0
BRCA1,"Breast cancer; Breast-ovarian cancer, familial, 1; Ovarian cancer; Pancreatic cancer 4; Fanconi anemia, complementation ",P38398,Q9FMM3,arabidopsis,dietary,77,0.9386,0.9141,1859,1710,170.0,88.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,F4JF14,arabidopsis,dietary,77,0.9158,0.8698,902,949,165.0,120.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q5AGM0,candida,microbial,77,0.9158,0.9219,902,1013,165.0,186.0
KIRREL1,Nephrotic syndrome 23,Q96J84,Q42777,soybean,dietary,77,0.9271,0.9302,753,727,216.0,264.0
KIRREL1,Nephrotic syndrome 23,Q96J84,Q1PEF8,arabidopsis,dietary,77,0.9271,0.9111,753,586,216.0,189.0
KIRREL1,Nephrotic syndrome 23,Q96J84,Q93YR9,arabidopsis,dietary,77,0.9271,0.9147,753,666,216.0,175.0
UNC5C,Alzheimer disease,O95185,P25365,yeast,dietary,77,0.9244,0.9283,927,1061,133.0,120.0
UNC5C,Alzheimer disease,O95185,O82175,arabidopsis,dietary,77,0.9244,0.8962,927,790,133.0,138.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,P40438,yeast,dietary,77,0.9223,0.8989,1473,1545,171.0,239.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,Q04693,yeast,dietary,77,0.9223,0.899,1473,1357,171.0,209.0
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,P41696,yeast,dietary,77,0.9386,0.9455,725,910,143.0,291.0
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,Q9SHI3,arabidopsis,dietary,77,0.9386,0.9365,725,725,143.0,90.0
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,Q9SSG3,arabidopsis,dietary,77,0.9386,0.9332,725,691,143.0,72.0
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,Q9SVN2,arabidopsis,dietary,77,0.9386,0.942,725,796,143.0,122.0
GALT,Galactosemia 1,P07902,F4K3M6,arabidopsis,dietary,77,0.9681,0.9391,375,371,168.0,200.0
IL6ST,"Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections; Hyper-IgE syndrome 4B, autosomal recessive, with r",P40189,C0LGD7,arabidopsis,dietary,77,0.9298,0.9362,914,949,228.0,180.0
ATXN1,Spinocerebellar ataxia 1,P54253,Q9FXI5,arabidopsis,dietary,77,0.9327,0.9156,811,790,148.0,88.0
ATXN1,Spinocerebellar ataxia 1,P54253,Q9SCV5,arabidopsis,dietary,77,0.9327,0.9298,811,822,148.0,143.0
NFIA,Brain malformations with or without urinary tract defects,Q12857,Q8RW90,arabidopsis,dietary,77,0.9618,0.9601,505,417,159.0,274.0
NFIA,Brain malformations with or without urinary tract defects,Q12857,Q9FGF8,arabidopsis,dietary,77,0.9618,0.948,505,387,159.0,207.0
NFIA,Brain malformations with or without urinary tract defects,Q12857,Q9M9H4,arabidopsis,dietary,77,0.9618,0.9263,505,496,159.0,153.0
MYRF,"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization; Cardiac-urogenital syndrome; Nanophthalmos 1",Q9Y2G1,Q0D9R7,rice,dietary,77,0.9197,0.9365,1147,1157,162.0,201.0
LAMP2,Danon disease,P13473,Q8L8Q7,arabidopsis,dietary,77,0.954,0.9453,406,437,103.0,117.0
NAF1,"Pulmonary fibrosis, and/or bone marrow failure syndrome, telomere-related, 7",Q96HR8,Q9FL69,arabidopsis,dietary,77,0.9259,0.9322,490,479,71.0,52.0
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,Q6Z2W3,rice,dietary,77,0.9182,0.9134,867,1138,77.0,102.0
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,Q12502,yeast,dietary,77,0.9182,0.9043,867,814,77.0,135.0
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,O64781,arabidopsis,dietary,77,0.9182,0.915,867,827,77.0,84.0
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,P0DH86,arabidopsis,dietary,77,0.9182,0.9126,867,849,77.0,58.0
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,Q9SCT4,arabidopsis,dietary,77,0.9182,0.9213,867,832,77.0,84.0
PRRT2,"Episodic kinesigenic dyskinesia 1; Convulsions, familial infantile, with paroxysmal choreoathetosis; Seizures, benign fa",Q7Z6L0,Q8H102,arabidopsis,dietary,77,0.9396,0.9097,336,358,51.0,62.0
PRRT2,"Episodic kinesigenic dyskinesia 1; Convulsions, familial infantile, with paroxysmal choreoathetosis; Seizures, benign fa",Q7Z6L0,Q9FMZ0,arabidopsis,dietary,77,0.9396,0.9411,336,333,51.0,126.0
PRRT2,"Episodic kinesigenic dyskinesia 1; Convulsions, familial infantile, with paroxysmal choreoathetosis; Seizures, benign fa",Q7Z6L0,Q9HXY6,pseudomonas,microbial,77,0.9396,0.93,336,349,51.0,81.0
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,P41696,yeast,dietary,76,0.9405,0.9455,1490,910,258.0,291.0
UNC5C,Alzheimer disease,O95185,Q5EAH9,arabidopsis,dietary,76,0.9244,0.9157,927,574,133.0,111.0
PARD3,Neural tube defects,Q8TEW0,Q9FGW9,arabidopsis,dietary,75,0.951,0.9602,1352,1057,753.0,696.0
ORC1,Meier-Gorlin syndrome 1,Q13415,Q9S972,arabidopsis,dietary,75,0.988,0.9719,857,843,783.0,408.0
DCC,"Mirror movements 1; Gaze palsy, familial horizontal, with progressive scoliosis, 2, with impaired intellectual developme",P43146,Q02630,yeast,dietary,75,0.9585,0.9538,1443,1109,771.0,659.0
CFAP221,"Ciliary dyskinesia, primary, 55",Q4G0U5,P47043,yeast,dietary,75,0.9589,0.9512,836,876,604.0,507.0
CFAP221,"Ciliary dyskinesia, primary, 55",Q4G0U5,Q94JM3,arabidopsis,dietary,75,0.9589,0.9554,836,855,604.0,585.0
LIFR,Stuve-Wiedemann syndrome 1,P42702,F4KDH9,arabidopsis,dietary,75,0.9445,0.9349,1093,1192,542.0,505.0
LIFR,Stuve-Wiedemann syndrome 1,P42702,Q59XA7,candida,microbial,75,0.9445,0.9213,1093,1245,542.0,548.0
FBXO38,"Neuronopathy, distal hereditary motor, autosomal dominant 6",Q6PIJ6,C0LGQ5,arabidopsis,dietary,75,0.9539,0.944,1184,1245,722.0,561.0
FBXO38,"Neuronopathy, distal hereditary motor, autosomal dominant 6",Q6PIJ6,Q9FGW9,arabidopsis,dietary,75,0.9539,0.9602,1184,1057,722.0,696.0
PIK3CD,"Immunodeficiency 14A with lymphoproliferation, autosomal dominant; Immunodeficiency 14B, autosomal recessive; Roifman-Ch",O00329,Q9LL84,arabidopsis,dietary,75,0.9461,0.953,1040,1215,598.0,774.0
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q2QQX6,rice,dietary,75,0.9315,0.9133,869,837,441.0,289.0
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q9ZQF9,arabidopsis,dietary,75,0.9315,0.9382,869,700,441.0,225.0
NEXMIF,"Intellectual developmental disorder, X-linked 98",Q5QGS0,F4KDH9,arabidopsis,dietary,75,0.9163,0.9349,1512,1192,446.0,505.0
ADGRL1,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",O94910,Q12141,yeast,dietary,75,0.9305,0.9157,1470,1751,624.0,638.0
ADGRL1,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",O94910,C0LGQ5,arabidopsis,dietary,75,0.9305,0.944,1470,1245,624.0,561.0
ADGRL1,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",O94910,F4K1J4,arabidopsis,dietary,75,0.9305,0.9131,1470,1419,624.0,326.0
ADGRL1,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",O94910,Q9LP24,arabidopsis,dietary,75,0.9305,0.9448,1470,1116,624.0,474.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,A0A0B7P3V8,yeast,dietary,75,0.9202,0.9053,1195,1100,476.0,367.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,P38972,yeast,dietary,75,0.9202,0.9036,1195,1354,476.0,283.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,F4HPN2,arabidopsis,dietary,75,0.9202,0.9387,1195,1038,476.0,355.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,P30182,arabidopsis,dietary,75,0.9202,0.9165,1195,1469,476.0,641.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,P0A8V2,ecoli,microbial,75,0.9202,0.9182,1195,1338,476.0,242.0
PHF8,"Intellectual developmental disorder, X-linked, syndromic, Siderius type",Q9UPP1,Q2QM47,rice,dietary,75,0.9514,0.9084,1056,1005,363.0,295.0
PHF8,"Intellectual developmental disorder, X-linked, syndromic, Siderius type",Q9UPP1,O49329,arabidopsis,dietary,75,0.9514,0.947,1056,860,363.0,294.0
PHF8,"Intellectual developmental disorder, X-linked, syndromic, Siderius type",Q9UPP1,O24585,maize,dietary,75,0.9514,0.9463,1056,897,363.0,333.0
ADAM22,Developmental and epileptic encephalopathy 61,Q9P0K1,Q0INM3,rice,dietary,75,0.95,0.9403,902,915,471.0,228.0
ADAM22,Developmental and epileptic encephalopathy 61,Q9P0K1,Q04195,yeast,dietary,75,0.95,0.9315,902,900,471.0,379.0
ENAM,Amelogenesis imperfecta 1B; Amelogenesis imperfecta 1C,Q9NRM1,Q9LP24,arabidopsis,dietary,75,0.9346,0.9448,1138,1116,404.0,474.0
SALL1,Townes-Brocks syndrome 1,Q9NSC2,P41696,yeast,dietary,75,0.9428,0.9455,1320,910,378.0,291.0
SALL1,Townes-Brocks syndrome 1,Q9NSC2,P93022,arabidopsis,dietary,75,0.9428,0.9355,1320,1160,378.0,170.0
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,Q5Z8V7,rice,dietary,75,0.9179,0.8923,1356,1435,292.0,243.0
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,Q6YXY2,rice,dietary,75,0.9179,0.9158,1356,1664,292.0,192.0
MEGF10,"Congenital myopathy 10A, severe variant; Congenital myopathy 10B, mild variant",Q96KG7,Q9ZQF9,arabidopsis,dietary,75,0.9533,0.9382,1136,700,282.0,225.0
ASXL1,Bohring-Opitz syndrome; Myelodysplastic syndrome,Q8IXJ9,F4IZM8,arabidopsis,dietary,75,0.9204,0.9024,1537,1343,288.0,255.0
ASXL1,Bohring-Opitz syndrome; Myelodysplastic syndrome,Q8IXJ9,Q8IL84,malaria,parasitic,75,0.9204,0.9099,1537,2016,288.0,261.0
SYCP2,Spermatogenic failure 1,Q9BX26,Q5Z8V7,rice,dietary,75,0.9163,0.8923,1526,1435,304.0,243.0
SYCP2,Spermatogenic failure 1,Q9BX26,P32521,yeast,dietary,75,0.9163,0.9069,1526,1476,304.0,116.0
SYCP2,Spermatogenic failure 1,Q9BX26,P40438,yeast,dietary,75,0.9163,0.8989,1526,1545,304.0,239.0
SYCP2,Spermatogenic failure 1,Q9BX26,P40890,yeast,dietary,75,0.9163,0.917,1526,1545,304.0,203.0
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q653U3,rice,dietary,75,0.9236,0.9261,934,913,262.0,380.0
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q04195,yeast,dietary,75,0.9236,0.9315,934,900,262.0,379.0
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q9LP46,arabidopsis,dietary,75,0.9236,0.9148,934,1016,262.0,203.0
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q9SY59,arabidopsis,dietary,75,0.9236,0.9089,934,1184,262.0,209.0
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,P33341,ecoli,microbial,75,0.9236,0.9119,934,822,262.0,353.0
KLKB1,Prekallikrein deficiency,P03952,Q8H106,arabidopsis,dietary,75,0.9575,0.9411,634,628,248.0,207.0
KLKB1,Prekallikrein deficiency,P03952,Q8L706,arabidopsis,dietary,75,0.9575,0.966,634,556,248.0,325.0
KLKB1,Prekallikrein deficiency,P03952,Q9ZNQ8,arabidopsis,dietary,75,0.9575,0.9373,634,629,248.0,214.0
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,P32334,yeast,dietary,75,0.9405,0.9368,1490,1302,258.0,159.0
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,F4J7T3,arabidopsis,dietary,75,0.9405,0.9269,1490,1953,258.0,219.0
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,Q9XER9,arabidopsis,dietary,75,0.9405,0.9159,1490,1388,258.0,223.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q1PEF8,arabidopsis,dietary,75,0.9053,0.9111,502,586,237.0,189.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q5XV99,arabidopsis,dietary,75,0.9053,0.919,502,510,237.0,179.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q8LJW1,arabidopsis,dietary,75,0.9053,0.8969,502,445,237.0,214.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q8VZA1,arabidopsis,dietary,75,0.9053,0.889,502,553,237.0,79.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q9FMP5,arabidopsis,dietary,75,0.9053,0.8868,502,524,237.0,186.0
GCM2,"Hypoparathyroidism, familial isolated, 2; Hyperparathyroidism 4",O75603,Q9SR40,arabidopsis,dietary,75,0.9053,0.8862,502,563,237.0,72.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,P33336,yeast,dietary,75,0.9302,0.9207,659,767,262.0,188.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,P0CB21,arabidopsis,dietary,75,0.9302,0.9142,659,704,262.0,179.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,Q8S8E8,arabidopsis,dietary,75,0.9302,0.9149,659,773,262.0,245.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,Q93YR9,arabidopsis,dietary,75,0.9302,0.9147,659,666,262.0,175.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,Q9T0K5,arabidopsis,dietary,75,0.9302,0.9379,659,756,262.0,160.0
LRIG2,Urofacial syndrome 2,O94898,Q0D9R7,rice,dietary,75,0.9445,0.9365,1061,1157,238.0,201.0
LRIG2,Urofacial syndrome 2,O94898,Q653U3,rice,dietary,75,0.9445,0.9261,1061,913,238.0,380.0
LRIG2,Urofacial syndrome 2,O94898,Q8S983,rice,dietary,75,0.9445,0.9219,1061,951,238.0,201.0
LRIG2,Urofacial syndrome 2,O94898,P41696,yeast,dietary,75,0.9445,0.9455,1061,910,238.0,291.0
LRIG2,Urofacial syndrome 2,O94898,Q02630,yeast,dietary,75,0.9445,0.9538,1061,1109,238.0,659.0
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,Q0JB89,rice,dietary,75,0.9417,0.941,1155,339,183.0,133.0
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,Q10MJ1,rice,dietary,75,0.9417,0.9301,1155,934,183.0,545.0
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,O48849,arabidopsis,dietary,75,0.9417,0.9463,1155,886,183.0,187.0
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,P93022,arabidopsis,dietary,75,0.9417,0.9355,1155,1160,183.0,170.0
ATXN2,Spinocerebellar ataxia 2; Amyotrophic lateral sclerosis 13,Q99700,P32334,yeast,dietary,75,0.938,0.9368,1309,1302,280.0,159.0
ATXN2,Spinocerebellar ataxia 2; Amyotrophic lateral sclerosis 13,Q99700,P39685,yeast,dietary,75,0.938,0.9105,1309,1333,280.0,220.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,Q5QNA6,rice,dietary,75,0.9147,0.9085,1380,1330,179.0,174.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,P53751,yeast,dietary,75,0.9147,0.9342,1380,1112,179.0,181.0
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,P47043,yeast,dietary,75,0.9529,0.9512,792,876,203.0,507.0
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,Q94JM3,arabidopsis,dietary,75,0.9529,0.9554,792,855,203.0,585.0
YEATS2,"Epilepsy, familial adult myoclonic, 4",Q9ULM3,Q0D9R7,rice,dietary,75,0.9448,0.9365,1418,1157,254.0,201.0
YEATS2,"Epilepsy, familial adult myoclonic, 4",Q9ULM3,Q9XER9,arabidopsis,dietary,75,0.9448,0.9159,1418,1388,254.0,223.0
TMEM132E,"Deafness, autosomal recessive, 99",Q6IEE7,Q8S983,rice,dietary,75,0.9253,0.9219,1070,951,205.0,201.0
TMEM132E,"Deafness, autosomal recessive, 99",Q6IEE7,P25365,yeast,dietary,75,0.9253,0.9283,1070,1061,205.0,120.0
TMEM132E,"Deafness, autosomal recessive, 99",Q6IEE7,P32873,yeast,dietary,75,0.9253,0.9208,1070,1124,205.0,369.0
TMEM132E,"Deafness, autosomal recessive, 99",Q6IEE7,Q5AGM0,candida,microbial,75,0.9253,0.9219,1070,1013,205.0,186.0
ASXL2,Shashi-Pena syndrome,Q76L83,Q0D9R7,rice,dietary,75,0.9274,0.9365,1431,1157,260.0,201.0
ASXL2,Shashi-Pena syndrome,Q76L83,P32334,yeast,dietary,75,0.9274,0.9368,1431,1302,260.0,159.0
ASXL2,Shashi-Pena syndrome,Q76L83,P41696,yeast,dietary,75,0.9274,0.9455,1431,910,260.0,291.0
ASXL2,Shashi-Pena syndrome,Q76L83,Q5XPJ9,arabidopsis,dietary,75,0.9274,0.8944,1431,1395,260.0,258.0
ASXL2,Shashi-Pena syndrome,Q76L83,Q9LEY4,arabidopsis,dietary,75,0.9274,0.9004,1431,1441,260.0,146.0
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,Q12141,yeast,dietary,75,0.92,0.9157,1669,1751,197.0,638.0
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,F4J7T3,arabidopsis,dietary,75,0.92,0.9269,1669,1953,197.0,219.0
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,F4K1J4,arabidopsis,dietary,75,0.92,0.9131,1669,1419,197.0,326.0
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,Q0WUR5,arabidopsis,dietary,75,0.92,0.9007,1669,1753,197.0,184.0
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,Q9FWQ5,arabidopsis,dietary,75,0.92,0.8908,1669,1702,197.0,207.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q5JK20,rice,dietary,75,0.9158,0.9034,902,804,165.0,124.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q60EW9,rice,dietary,75,0.9158,0.9093,902,770,165.0,153.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q8S983,rice,dietary,75,0.9158,0.9219,902,951,165.0,201.0
SHANK2,Autism 17,Q9UPX8,Q5QNA6,rice,dietary,75,0.9267,0.9085,1845,1330,202.0,174.0
SHANK2,Autism 17,Q9UPX8,F4I1T7,arabidopsis,dietary,75,0.9267,0.9008,1845,1815,202.0,120.0
KIRREL1,Nephrotic syndrome 23,Q96J84,Q0J360,rice,dietary,75,0.9271,0.9214,753,592,216.0,182.0
KIRREL1,Nephrotic syndrome 23,Q96J84,P20840,yeast,dietary,75,0.9271,0.9198,753,646,216.0,288.0
KIRREL1,Nephrotic syndrome 23,Q96J84,P33336,yeast,dietary,75,0.9271,0.9207,753,767,216.0,188.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,Q7XWP1,rice,dietary,75,0.9223,0.902,1473,1437,171.0,611.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,P39685,yeast,dietary,75,0.9223,0.9105,1473,1333,171.0,220.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,Q5ABV4,candida,microbial,75,0.9223,0.9136,1473,373,171.0,185.0
